NOC,Games,Year,Season,City,Sport,Event,Medal,NOC_Year_Event_Medal,region
ESP,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Gold,ESP1992Football Men's FootballGold,Spain
USA,1900 Summer,1900,Summer,Paris,Rowing,Rowing Men's Coxed Eights,Gold,USA1900Rowing Men's Coxed EightsGold,USA
USA,1904 Summer,1904,Summer,St. Louis,Rowing,Rowing Men's Coxed Eights,Gold,USA1904Rowing Men's Coxed EightsGold,USA
ETH,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Marathon,Gold,ETH2000Athletics Men's MarathonGold,Ethiopia
SWE,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Long Jump,Bronze,SWE1912Athletics Men's Long JumpBronze,Sweden
SWE,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Triple Jump,Silver,SWE1912Athletics Men's Triple JumpSilver,Sweden
USA,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,Gold,USA2000Baseball Men's BaseballGold,USA
RSA,1956 Summer,1956,Summer,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze,RSA1956Swimming Women's 4 x 100 metres Freestyle RelayBronze,South Africa
TUR,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Women's 5,000 metres",Silver,"TUR2008Athletics Women's 5,000 metresSilver",Turkey
BUL,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold,"BUL1980Wrestling Men's Middleweight, FreestyleGold",Bulgaria
USA,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,USA1932Athletics Men's 4 x 400 metres RelayGold,USA
RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,Bronze,RUS2012Gymnastics Men's Floor ExerciseBronze,Russia
RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Silver,RUS2012Gymnastics Men's Horse VaultSilver,Russia
RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver,RUS2016Gymnastics Men's Team All-AroundSilver,Russia
RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Silver,RUS2016Gymnastics Men's Horse VaultSilver,Russia
RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Bronze,RUS2016Gymnastics Men's RingsBronze,Russia
URS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver,URS1972Swimming Men's 4 x 100 metres Freestyle RelaySilver,Russia
URS,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,URS1972Swimming Men's 4 x 200 metres Freestyle RelayBronze,Russia
AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,AUS2016Swimming Men's 4 x 100 metres Freestyle RelayBronze,Australia
EGY,2012 Summer,2012,Summer,London,Fencing,"Fencing Men's Foil, Individual",Silver,"EGY2012Fencing Men's Foil, IndividualSilver",Egypt
HUN,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze,"HUN1988Canoeing Men's Kayak Doubles, 500 metresBronze",Hungary
HUN,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold,"HUN1988Canoeing Men's Kayak Fours, 1,000 metresGold",Hungary
HUN,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver,"HUN1992Canoeing Men's Kayak Fours, 1,000 metresSilver",Hungary
GBR,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,GBR1980Swimming Men's 4 x 100 metres Medley RelayBronze,UK
SWE,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver,"SWE2004Wrestling Men's Light-Heavyweight, Greco-RomanSilver",Sweden
GBR,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 100 metres,Gold,GBR1924Athletics Men's 100 metresGold,UK
GBR,1924 Summer,1924,Summer,Paris,Athletics,Athletics Men's 4 x 100 metres Relay,Silver,GBR1924Athletics Men's 4 x 100 metres RelaySilver,UK
NOR,1912 Summer,1912,Summer,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold,"NOR1912Gymnastics Men's Team All-Around, Free SystemGold",Norway
SWE,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Men's Long Jump,Bronze,SWE1920Athletics Men's Long JumpBronze,Sweden
SWE,1928 Winter,1928,Winter,Sankt Moritz,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver,SWE1928Ice Hockey Men's Ice HockeySilver,Sweden
RUS,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Bronze,RUS2004Volleyball Men's VolleyballBronze,Russia
URS,1964 Summer,1964,Summer,Tokyo,Volleyball,Volleyball Women's Volleyball,Silver,URS1964Volleyball Women's VolleyballSilver,Russia
RUS,2006 Winter,2006,Winter,Torino,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze,RUS2006Speed Skating Women's Team Pursuit (6 laps)Bronze,Russia
ESP,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Bronze,ESP2016Basketball Men's BasketballBronze,Spain
RUS,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Bronze,RUS2008Basketball Women's BasketballBronze,Russia
URS,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold,"URS1980Wrestling Men's Lightweight, FreestyleGold",Russia
FRA,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold,"FRA2004Cycling Men's Mountainbike, Cross-CountryGold",France
FRA,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold,"FRA2008Cycling Men's Mountainbike, Cross-CountryGold",France
JOR,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Featherweight,Gold,JOR2016Taekwondo Men's FeatherweightGold,Jordan
JPN,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,Bronze,JPN1964Gymnastics Women's Team All-AroundBronze,Japan
URS,1980 Summer,1980,Summer,Moskva,Fencing,"Fencing Men's epee, Team",Bronze,"URS1980Fencing Men's epee, TeamBronze",Russia
URS,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold,"URS1980Wrestling Men's Featherweight, FreestyleGold",Russia
ROU,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,Bronze,ROU2008Gymnastics Women's Team All-AroundBronze,Romania
SUI,1988 Winter,1988,Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Combined,Bronze,SUI1988Alpine Skiing Men's CombinedBronze,Switzerland
ESP,1920 Summer,1920,Summer,Antwerpen,Football,Football Men's Football,Silver,ESP1920Football Men's FootballSilver,Spain
PUR,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Welterweight,Bronze,PUR1992Boxing Men's WelterweightBronze,Puerto Rico
MEX,1984 Summer,1984,Summer,Los Angeles,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver,"MEX1984Wrestling Men's Flyweight, Greco-RomanSilver",Mexico
GHA,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Bronze,GHA1992Football Men's FootballBronze,Ghana
SUI,1984 Summer,1984,Summer,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver,SUI1984Cycling Men's 100 kilometres Team Time TrialSilver,Switzerland
MAR,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Featherweight,Bronze,MAR1988Boxing Men's FeatherweightBronze,Morocco
MAR,1992 Summer,1992,Summer,Barcelona,Boxing,Boxing Men's Bantamweight,Bronze,MAR1992Boxing Men's BantamweightBronze,Morocco
URS,1968 Winter,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze,URS1968Cross Country Skiing Women's 3 x 5 kilometres RelayBronze,Russia
NED,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Bronze,NED2012Rowing Women's Coxed EightsBronze,Netherlands
NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,Silver,NED2016Rowing Women's Quadruple ScullsSilver,Netherlands
SWE,1920 Summer,1920,Summer,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold,"SWE1920Gymnastics Men's Team All-Around, Swedish SystemGold",Sweden
NZL,1976 Summer,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,Gold,NZL1976Hockey Men's HockeyGold,New Zealand
USA,1920 Summer,1920,Summer,Antwerpen,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold,"USA1920Wrestling Men's Featherweight, FreestyleGold",USA
GER,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Team,Silver,GER2002Nordic Combined Men's TeamSilver,Germany
GER,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Sprint,Silver,GER2002Nordic Combined Men's SprintSilver,Germany
GER,2006 Winter,2006,Winter,Torino,Nordic Combined,Nordic Combined Men's Team,Silver,GER2006Nordic Combined Men's TeamSilver,Germany
SUI,1992 Winter,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Two,Gold,SUI1992Bobsleigh Men's TwoGold,Switzerland
SUI,1992 Winter,1992,Winter,Albertville,Bobsleigh,Bobsleigh Men's Four,Bronze,SUI1992Bobsleigh Men's FourBronze,Switzerland
SUI,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Two,Gold,SUI1994Bobsleigh Men's TwoGold,Switzerland
SUI,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Four,Silver,SUI1994Bobsleigh Men's FourSilver,Switzerland
SUI,1994 Winter,1994,Winter,Lillehammer,Bobsleigh,Bobsleigh Men's Two,Silver,SUI1994Bobsleigh Men's TwoSilver,Switzerland
ARG,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Gold,ARG2008Football Men's FootballGold,Argentina
CUB,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Heavyweight,Bronze,CUB2008Boxing Men's HeavyweightBronze,Cuba
URU,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,Bronze,URU1952Basketball Men's BasketballBronze,Uruguay
POL,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Lightweight,Bronze,POL1980Boxing Men's LightweightBronze,Poland
USA,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Men's Coxed Eights,Gold,USA1936Rowing Men's Coxed EightsGold,USA
TCH,1976 Summer,1976,Summer,Montreal,Modern Pentathlon,Modern Pentathlon Men's Team,Silver,TCH1976Modern Pentathlon Men's TeamSilver,Czech Republic
CAN,2006 Winter,2006,Winter,Torino,Curling,Curling Men's Curling,Gold,CAN2006Curling Men's CurlingGold,Canada
GER,1936 Summer,1936,Summer,Berlin,Fencing,"Fencing Men's Foil, Team",Bronze,"GER1936Fencing Men's Foil, TeamBronze",Germany
FRA,1948 Summer,1948,Summer,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold,"FRA1948Cycling Men's Team Pursuit, 4,000 metresGold",France
POL,1992 Summer,1992,Summer,Barcelona,Football,Football Men's Football,Silver,POL1992Football Men's FootballSilver,Poland
USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Standing High Jump,Silver,USA1912Athletics Men's Standing High JumpSilver,USA
USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Standing Long Jump,Bronze,USA1912Athletics Men's Standing Long JumpBronze,USA
USA,1904 Summer,1904,Summer,St. Louis,Swimming,Swimming Men's Plunge For Distance,Silver,USA1904Swimming Men's Plunge For DistanceSilver,USA
USA,1912 Summer,1912,Summer,Stockholm,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Gold,"USA1912Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, TeamGold",USA
GBR,1980 Summer,1980,Summer,Moskva,Judo,Judo Men's Lightweight,Silver,GBR1980Judo Men's LightweightSilver,UK
GBR,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Half-Middleweight,Silver,GBR1984Judo Men's Half-MiddleweightSilver,UK
GBR,2012 Summer,2012,Summer,London,Boxing,Boxing Women's Flyweight,Gold,GBR2012Boxing Women's FlyweightGold,UK
GBR,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Flyweight,Gold,GBR2016Boxing Women's FlyweightGold,UK
USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Standing High Jump,Gold,USA1912Athletics Men's Standing High JumpGold,USA
USA,1912 Summer,1912,Summer,Stockholm,Athletics,Athletics Men's Standing Long Jump,Silver,USA1912Athletics Men's Standing Long JumpSilver,USA
USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze,USA2016Volleyball Women's VolleyballBronze,USA
GBR,2014 Winter,2014,Winter,Sochi,Curling,Curling Women's Curling,Bronze,GBR2014Curling Women's CurlingBronze,UK
NZL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Shot Put,Gold,NZL2008Athletics Women's Shot PutGold,New Zealand
NZL,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Shot Put,Gold,NZL2012Athletics Women's Shot PutGold,New Zealand
NZL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Shot Put,Silver,NZL2016Athletics Women's Shot PutSilver,New Zealand
GER,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold,GER2012Rowing Men's Coxed EightsGold,Germany
GER,1936 Summer,1936,Summer,Berlin,Rowing,Rowing Men's Coxed Pairs,Gold,GER1936Rowing Men's Coxed PairsGold,Germany
POL,1960 Summer,1960,Summer,Roma,Boxing,Boxing Men's Featherweight,Silver,POL1960Boxing Men's FeatherweightSilver,Poland
